C3,C4,Timestamp
-151356.78218087938,-120977.87809108236,1747830155.368813
-151343.81816909532,-120980.24737599462,1747830155.376849
-151359.6655559141,-120981.02968705056,1747830155.383851
-151337.89495681465,-120979.1074370274,1747830155.4079
-151357.89976810216,-120980.38148646135,1747830155.414913
-151333.98340153496,-120979.21919574967,1747830155.42091
-151356.8715878572,-120980.98498356165,1747830155.427914
-151331.50235790043,-120980.00150680561,1747830155.434941
-151356.11162854574,-120982.30373648451,1747830155.441957
-151328.70838984352,-120979.48741668313,1747830155.447965
-151354.14467503366,-120983.39897196282,1747830155.454972
-151328.95425903253,-120981.4096667063,1747830155.46201
-151349.85314009825,-120983.17545451826,1747830155.468011
-151330.2730119554,-120983.309564985,1747830155.47499
-151348.51203543093,-120986.17058827527,1747830155.482031
-151331.725875345,-120984.89653884132,1747830155.489025
-151341.60534639424,-120984.02482080756,1747830155.497028
-151330.40712242213,-120982.63901265133,1747830155.505103
-151336.88912831416,-120984.09187604093,1747830155.514111
-151332.30702070083,-120983.39897196282,1747830155.522116
-151332.50818640093,-120984.56126267448,1747830155.528121
-151334.76571259092,-120984.6059661634,1747830155.536131
-151327.3225816873,-120984.44950395222,1747830155.545115
-151337.15734924763,-120986.01412606408,1747830155.55211
-151323.478081641,-120985.2094632637,1747830155.561144
-151337.80554983683,-120986.17058827527,1747830155.568161
-151319.54417461684,-120985.34357373042,1747830155.577194
-151340.46540742702,-120988.56222493199,1747830155.585152
-151318.5606978608,-120987.91402434278,1747830155.593207
-151339.54898590434,-120987.93637608724,1747830155.602236
-151310.84934602372,-120982.84017835143,1747830155.609195
-151337.20205273654,-120986.81878886448,1747830155.616236
-151310.69288381253,-120984.87418709687,1747830155.624257
-151335.10098875774,-120986.99760282012,1747830155.631222
-151307.4071773776,-120983.17545451826,1747830155.640222
-151330.9659160335,-120986.32705048646,1747830155.648211
-151311.0728634683,-120988.02578306507,1747830155.673318
-151326.6296776092,-120986.34940223092,1747830155.679327
-151309.3741308897,-120986.93054758676,1747830155.68635
-151321.89110778464,-120986.7070301422,1747830155.693358
-151304.4567471095,-120981.8567015954,1747830155.699353
-151318.5606978608,-120988.24930050962,1747830155.706348
-151310.84934602372,-120987.22112026467,1747830155.713392
-151316.0125989929,-120990.68564065524,1747830155.71939
-151312.43631988007,-120987.57874817596,1747830155.726419
-151307.2060116775,-120986.97525107567,1747830155.732404
-151313.1068722137,-120987.66815515378,1747830155.739438
-151300.7687092744,-120986.058829553,1747830155.746434
-151311.63165707968,-120986.46116095319,1747830155.763482
-151296.6559882946,-120987.53404468704,1747830155.770493
-151314.09034896974,-120989.45629471021,1747830155.776447
-151295.13606967166,-120990.57388193297,1747830155.783501
-151314.04564548083,-120990.12684704387,1747830155.789489
-151292.31974987028,-120991.08797205544,1747830155.796502
-151314.5150321144,-120991.80322787802,1747830155.803496
-151288.8552294797,-120990.37271623287,1747830155.810504
-151313.64331408063,-120992.42907672276,1747830155.816548
-151287.7599940014,-120990.66328891079,1747830155.824535
-151312.10104371322,-120993.09962905642,1747830155.833577
-151287.00003468993,-120990.93150984426,1747830155.841637
-151309.53059310088,-120994.19486453473,1747830155.84961
-151286.03890967835,-120989.85862611039,1747830155.857625
-151301.5510203303,-120990.21625402168,1747830155.86367
-151285.92715095606,-120989.36688773238,1747830155.872658
-151295.06901443828,-120988.58457667644,1747830155.879653
-151285.74833700043,-120988.74103888763,1747830155.887655
-151295.3148836273,-120993.81488487899,1747830155.8977
-151288.96698820198,-120991.15502728881,1747830155.907673
-151287.17884864556,-120990.90915809979,1747830155.914679
-151287.93880795705,-120989.03161156556,1747830155.922744
-151281.27798810936,-120990.05979181049,1747830155.929757
-151290.77747950287,-120991.26678601108,1747830155.93775
-151277.41113631858,-120991.24443426663,1747830155.943776
-151293.59379930425,-120993.43490522324,1747830155.95377
-151274.08072639475,-120991.98204183365,1747830155.960811
-151296.1642499166,-120995.82654187997,1747830155.983816
-151270.92913042655,-120992.20555927821,1747830155.990854
-151294.57727606027,-120994.88776861284,1747830155.997835
-151267.24109259143,-120991.557358689,1747830156.003873
-151290.77747950287,-120992.58553893394,1747830156.010862
-151265.89998792412,-120992.31731800048,1747830156.016863
-151288.56465680178,-120992.76435288959,1747830156.023909
-151263.12837161164,-120990.81975112198,1747830156.030899
-151284.47428756647,-120991.93733834474,1747830156.03692
-151262.97190940045,-120991.19973077772,1747830156.043923
-151284.0049009329,-120995.26774826858,1747830156.049959
-151265.47530477945,-120993.54666394553,1747830156.056931
-151278.37226133017,-120993.70312615672,1747830156.064953
-151261.2061215885,-120988.38341097634,1747830156.071977
-151272.94078742753,-120992.8090563785,1747830156.080989
